店名,住所,区名,評価,コメント数,保存数,営業時間,定休日,予算,個室有無,席数,駐車場有無
RAMEN 百舌鳥（MOZU）,港区赤坂5-3-1 赤坂Bizタワー B1F,港区,3.63,338,8596,11:00～23:00,11:00～23:00,"￥1,000～￥1,999",無,22席,無
大塚 みや穂（【旧店名】和Dining ななみや）,豊島区南大塚3-48-5 大明ビル１Ｆ,豊島区,3.63,323,26873,▶昼の部　麺処《月〜土》11:30～13:30 ※無くなり次第終了※昼は現金のみ※予約不可▶夜の部　和食《月〜土》17:30〜22:00※完全予約制,▶昼の部　麺処《月〜土》11:30～13:30 ※無くなり次第終了※昼は現金のみ※予約不可▶夜の部　和食《月〜土》17:30〜22:00※完全予約制,"￥8,000～￥9,999",無,20席,無
光麟堂,港区新橋5-33-8 新橋SSビル 1F,港区,3.63,312,10650,,,～￥999,無,7席,無
ジカセイ メンショウ（Jikasei MENSHO）,渋谷区宇田川町15-1 渋谷パルコ B1F,渋谷区,3.63,284,8467,[月～金]11:30～22:00（LO.21:30)[土・日・祝]11:00～21:00(LO.20:30),[月～金]11:30～22:00（LO.21:30)[土・日・祝]11:00～21:00(LO.20:30),"￥1,000～￥1,999",有,22席,有
麺屋 正路（メンヤマサミチ）,杉並区上荻1-9-1 慶仁ビル 2F,杉並区,3.63,245,10525,[月～金]11:30～15:0018:00～21:30[土・日・祝]11:30～15:0018:00～20:30麺が無くなり次第終了,[月～金]11:30～15:0018:00～21:30[土・日・祝]11:30～15:0018:00～20:30麺が無くなり次第終了,～￥999,無,7席,無
麺尊RAGE 中野 腕刀,中野区中野5-55-3,中野区,3.63,242,7256,[月～日]11:30～14:30(L.O.14:25) 17:00～23:00(L.O.22:55),[月～日]11:30～14:30(L.O.14:25) 17:00～23:00(L.O.22:55),～￥999,無,6席,無
中華そば 虎桜（こざくら）,荒川区荒川6-20-12 岸ハイツ1F,荒川区,3.63,233,6749,11:00～14:30 17:30～21:00,11:00～14:30 17:30～21:00,"￥1,000～￥1,999",無,14席,無
麺屋 上々,台東区蔵前3-17-3 SIビル 1F,台東区,3.63,224,5930,11:00～14:4518:00～21:00※スープ売り切れ次第終了,11:00～14:4518:00～21:00※スープ売り切れ次第終了,～￥999,無,15席,無
ラーメン 池田屋 高田馬場店,新宿区下落合1-3-13 工藤ビル 1F,新宿区,3.63,217,9941,11:00～14:0017:00～21:00,11:00～14:0017:00～21:00,～￥999,無,12席,無
煮干し中華そば のじじR 本所吾妻橋（ニボシチュウカ ノジジアール）,墨田区吾妻橋2-4-11,墨田区,3.63,209,5866,[日～金]11:00～15:0018:00～21:00(L.O.20:45),[日～金]11:00～15:0018:00～21:00(L.O.20:45),～￥999,無,6席,無
ヨコハマ 中華そば かみ山（YOKOHAMA 中華そば かみ山）,世田谷区経堂5-29-21,世田谷区,3.63,209,11959,[月・火・水・木・金]11:00～16:30(L.O.16:00)[土]11:00～15:30(L.O.15:00),[月・火・水・木・金]11:00～16:30(L.O.16:00)[土]11:00～15:30(L.O.15:00),～￥999,無,7席,無
ラーメンくれは,西東京市向台町1-2-42,西東京市,3.63,186,7158,[水～金]11:30～16:00 17:30～22:00[土･日]11:30～22:00,[水～金]11:30～16:00 17:30～22:00[土･日]11:30～22:00,"￥1,000～￥1,999",無,8席,無
のスた,品川区東大井6-1-1,品川区,3.63,164,10283,,,"￥1,000～￥1,999",無,10席,無
自家製麺 うるち,台東区寿2-9-16,台東区,3.63,156,4612,[月・水・木・金・土・日]11:30～15:00(L.O.14:30)18:00～21:00(L.O.20:30),[月・水・木・金・土・日]11:30～15:00(L.O.14:30)18:00～21:00(L.O.20:30),"￥1,000～￥1,999",無,13席,無
中華そば ユー リー（中華そば You Lee）,足立区大谷田3-1-15 亀有ダイヤモンドマンション,足立区,3.63,141,3730,11:30～14:15(L.O.),11:30～14:15(L.O.),"￥1,000～￥1,999",無,6席,無
ラーメン 裏健やか,武蔵野市中町1-28-1 矢島ビル102,武蔵野市,3.63,133,6273,[月]11:00～15:0018:00～21:00,[月]11:00～15:0018:00～21:00,～￥999,無,情報なし席,無
Rock’anDo（六感堂）,豊島区池袋2-23-5 サンフェニックス山田 101,豊島区,3.63,125,4500,[月火木金土]11:30～14:30(L.O)18:00～21:00(L.O)[日]11:30～14:30(L.O)※各日スープ切れ次第、早仕舞いあり,[月火木金土]11:30～14:30(L.O)18:00～21:00(L.O)[日]11:30～14:30(L.O)※各日スープ切れ次第、早仕舞いあり,～￥999,無,6席,無
epilogue 08（エピローグ エイト）,新宿区中落合2-9-5,新宿区,3.63,105,4345,Twitterにて確認,Twitterにて確認,"￥1,000～￥1,999",無,4席,無
幸加,世田谷区給田3-34-1,世田谷区,3.63,103,2382,[月・火・水・木・土]11:00～15:0017:30～21:00[日]11:00～15:00,[月・火・水・木・土]11:00～15:0017:30～21:00[日]11:00～15:00,～￥999,無,7席,無
ハレとケ RAMEN RESTAURANT,豊島区高田3-21-11,豊島区,3.63,84,2172,［月〜金］11:00〜16:00 ［土日祝］11:00〜16:00,［月〜金］11:00〜16:00 ［土日祝］11:00〜16:00,"￥1,000～￥1,999",無,11席,無
麺屋 龍,足立区西新井4-27-14 英マンション 1F,足立区,3.63,84,2524,[月・木]11:00～15:00/18:00～20:00[火・金]11:00～15:00[土・日・祝]9:00～15:00Twitterにて必ずご確認をお願いします材料切れや諸用などで臨時休業や早仕舞いの可能性あります,[月・木]11:00～15:00/18:00～20:00[火・金]11:00～15:00[土・日・祝]9:00～15:00Twitterにて必ずご確認をお願いします材料切れや諸用などで臨時休業や早仕舞いの可能性あります,～￥999,有,12席,有
オカモトモノガタリ,葛飾区金町5-24-16,葛飾区,3.63,82,2518,7:00～9:0011:00～14:3018:00～20:30,7:00～9:0011:00～14:3018:00～20:30,～￥999,無,6席,無
のど黒らぁ麺 永屋,杉並区梅里1-7-14 シャトー新高円寺 B1F barRISE,杉並区,3.63,70,1803,10:00～16:00[土](変動あり)10:00～16:0018:00～22:00,10:00～16:00[土](変動あり)10:00～16:0018:00～22:00,"￥1,000～￥1,999",無,10席,無
麺屋 武一（たけいち）,港区新橋3-6-13 IKENO-3 1F,港区,3.62,1053,28528,[平日]11:30～15:15（L.O.15:00）17:00～24:00（L.O.23:45）[祝日]11:30～17:00※スープ切れ次第終了する場合あり,[平日]11:30～15:15（L.O.15:00）17:00～24:00（L.O.23:45）[祝日]11:30～17:00※スープ切れ次第終了する場合あり,～￥999,無,18席,無
中華ソバ 櫻坂（桜坂 さくらざか）,渋谷区桜丘町17-10 吉野ビル 1F,渋谷区,3.62,938,24195,11:00～21:00,11:00～21:00,～￥999,無,14席,無
六厘舎 TOKYO スカイツリータウン・ソラマチ店（ロクリンシャトウキョウ）,墨田区押上1-1-2 東京ソラマチ 6F,墨田区,3.62,926,14659,10:30～23:00,10:30～23:00,"￥1,000～￥1,999",有,28席,有
秋刀魚中華そば生粋 池袋本店（きっすい）,豊島区池袋2-12-1 大晃第二ビル １Ｆ,豊島区,3.62,839,31205,[平日]11:30～15:0017:30～22:00[日、祝]11:30〜15:0017:00〜21:00年末年始は12月24日〜1月7日までお休み致します。,[平日]11:30～15:0017:30～22:00[日、祝]11:30〜15:0017:00〜21:00年末年始は12月24日〜1月7日までお休み致します。,"￥1,000～￥1,999",無,11席,無
なかご,港区赤坂3-16-3 伊勢幸ビル 1F,港区,3.62,821,32845,年中無休（年末年始は休業）ランチタイム：11：30〜16：00ディナータイム：18：00〜21：30★スープがなくなり次第閉店,年中無休（年末年始は休業）ランチタイム：11：30〜16：00ディナータイム：18：00〜21：30★スープがなくなり次第閉店,"￥1,000～￥1,999",無,13席,無
武蔵家 大井町店（むさしや）,品川区東大井5-4-10,品川区,3.62,726,12259,[月・火]11:00～翌2:00[水・木・金]7:00～翌2:00[土・日]5:00～翌2:00,[月・火]11:00～翌2:00[水・木・金]7:00～翌2:00[土・日]5:00～翌2:00,～￥999,無,10席,無
あぶら～亭（あぶらーてい）,杉並区下高井戸1-22-9,杉並区,3.62,614,16066,通常営業11:00 ～ 翌2:30売り切れによる早じまい有,通常営業11:00 ～ 翌2:30売り切れによる早じまい有,"￥1,000～￥1,999",無,28席,無
鶏白湯麺 蔭山 高田馬場店,新宿区高田馬場1-4-18,新宿区,3.62,610,22680,[月～土]11:00～23:00（L.O 22:30）[日・祝]11:00～22:00（L.O 21:30）,[月～土]11:00～23:00（L.O 22:30）[日・祝]11:00～22:00（L.O 21:30）,～￥999,無,12席,無
鶏舎（チイシャ）,目黒区青葉台3-9-9,目黒区,3.62,562,43059,夏季の期間、この様な営業時間と相成ります［月〜金］11:15〜14::30 17:00〜20:00［土］11:15〜14:30,夏季の期間、この様な営業時間と相成ります［月〜金］11:15〜14::30 17:00〜20:00［土］11:15〜14:30,"￥1,000～￥1,999",無,18席,無
ラーメン茂木（もぎ）,世田谷区太子堂2-13-1,世田谷区,3.62,521,20713,11:30～14:30 18:00～22:00,11:30～14:30 18:00～22:00,"￥1,000～￥1,999",無,17席,無
えっちゃんラーメン。,新宿区歌舞伎町1-15-8 丸雄ビル 1F,新宿区,3.62,509,14323,11/2718:00～22:00 一時休業ご迷惑をおかけいたしますが、よろしくお願いいたします。【月】8:00-【火～土】24時間営業【日】-朝7時閉店,11/2718:00～22:00 一時休業ご迷惑をおかけいたしますが、よろしくお願いいたします。【月】8:00-【火～土】24時間営業【日】-朝7時閉店,～￥999,無,24席,無
四川担々麺 赤い鯨 赤坂店,港区赤坂5-4-11 Porte bonheur 1F,港区,3.62,488,24300,11:00〜23:00(Lo.22:30【年末年始の営業時間について】12/30 11:00~15:30(LO15:00)、12/31~1/2 休業、1/3より通常営業いたします。また、1/10は社員研修のため、11:00~15:30(LO15:00)の営業となります。,11:00〜23:00(Lo.22:30【年末年始の営業時間について】12/30 11:00~15:30(LO15:00)、12/31~1/2 休業、1/3より通常営業いたします。また、1/10は社員研修のため、11:00~15:30(LO15:00)の営業となります。,"￥2,000～￥2,999",無,30席,無
麺やひだまり,文京区千駄木3-43-9,文京区,3.62,428,15806,通常営業時間土曜日、日曜日11:30〜14:0017:00〜20:00火曜~金曜　11:30~17:00,通常営業時間土曜日、日曜日11:30〜14:0017:00〜20:00火曜~金曜　11:30~17:00,～￥999,無,9席,無
俺の生きる道 白山（【旧店名】夢を語れ）,文京区白山5-36-14 マガザン白山 1F,文京区,3.62,413,19745,［月〜土］11:30〜15:0017:30〜21:30,［月〜土］11:30〜15:0017:30〜21:30,～￥999,無,15席,無
麺屋 中川會 住吉店,江東区住吉1-19-1 ツインタワーすみとし住吉館 1F,江東区,3.62,409,15019,11:30～15:0018:00～21:30材料なくなり次第終了,11:30～15:0018:00～21:30材料なくなり次第終了,"￥1,000～￥1,999",無,10席,無
中華そば きび,世田谷区松原2-42-5 明大前フラワーハイホーム 1F,世田谷区,3.62,405,11180,11:30～15:00 17:00～22:00,11:30～15:00 17:00～22:00,～￥999,無,15席,無
ラーメン 鷹の目 蒲田店,大田区西蒲田8-2-1,大田区,3.62,376,10168,11:00～15:00 17:00～22:00,11:00～15:00 17:00～22:00,～￥999,無,情報なし席,無
らーめん子うさぎ 大塚店,豊島区北大塚2-14-2,豊島区,3.62,329,9787,［月曜日〜金曜日］11:00〜20:00［土曜日］11:00〜15:00[日・祝]定休日,［月曜日〜金曜日］11:00〜20:00［土曜日］11:00〜15:00[日・祝]定休日,"￥1,000～￥1,999",無,5席,無
雨ニモマケズ,北区上十条3-29-11,北区,3.62,304,8563,［月・水］11:00～15:0017:00～21:00［木・金］11:00～15:00［土・日・祝］7:30～15:0017:00～21:00,［月・水］11:00～15:0017:00～21:00［木・金］11:00～15:00［土・日・祝］7:30～15:0017:00～21:00,～￥999,無,10席,無
絢,調布市入間町3-1-1,調布市,3.62,301,8057,,,～￥999,有,13席,有
二代目 谷瀬家,千代田区内神田3-8-6,千代田区,3.62,298,5272,7:00～10:0011:00～23:00,7:00～10:0011:00～23:00,～￥999,無,13席,無
狐狸丸（コリマル）,大田区西蒲田5-12-8 村川ビル 102,大田区,3.62,294,14152,★通常月　　　[昼]11～15:00のみ火水金　[昼]11～15:00[夜]17～22:00土日　　[昼]11～15:00[夜]17～21:00※最新情報は、当店のtwitterやFacebookを参照ください。,★通常月　　　[昼]11～15:00のみ火水金　[昼]11～15:00[夜]17～22:00土日　　[昼]11～15:00[夜]17～21:00※最新情報は、当店のtwitterやFacebookを参照ください。,～￥999,無,12席,無
麺処 さとう,板橋区蓮沼町22-6,板橋区,3.62,288,6927,11:00～15:0018:00～23:00※スープなくなり次第終了,11:00～15:0018:00～23:00※スープなくなり次第終了,～￥999,無,6席,無
シンちゃんラーメン,新宿区新宿4-2-7,新宿区,3.62,283,7257,＊月～日　10:00~23:00,＊月～日　10:00~23:00,"￥1,000～￥1,999",無,15席,無
なんでんかんでん 西新宿店,新宿区西新宿7-9-15 新宿ダイカンプラザビズネス清田ビル 1F,新宿区,3.62,259,6075,[月～日]11:00～23:00(L.O.22:30),[月～日]11:00～23:00(L.O.22:30),～￥999,無,8席,無
中華そば ひびき,府中市新町1-58-5,府中市,3.62,248,6925,,,～￥999,無,10席,無
UMA TSUKEMEN（ユーエムエー　ツケメン）,立川市西砂町1-3-15,立川市,3.62,247,9009,[月～木]11:30～14:3017：30～22：30[金土日]11：30～22：30いずれも麺が無くなり次第終了,[月～木]11:30～14:3017：30～22：30[金土日]11：30～22：30いずれも麺が無くなり次第終了,"￥1,000～￥1,999",有,13席,有
マルナカ,新宿区新小川町8-4,新宿区,3.62,241,10099,11:00～14:30 17:30～20:00,11:00～14:30 17:30～20:00,～￥999,無,14席,無
草むら,杉並区大宮1-1-1,杉並区,3.62,239,7194,［月・水～日］11:00～15:00,［月・水～日］11:00～15:00,"￥1,000～￥1,999",無,11席,無
麺庵 小島流 板橋本町本店（メンアン コジマリュウ）,板橋区本町32-12 サンハイツ本町101,板橋区,3.62,215,9933,[月・水～金]11:30～14:0018:00～22:00(フードL.O.21:00/アルコールL.O.21:30)[土・日・祝]11:30～14:3018:00～22:00(フードL.O.21:00/アルコールL.O.21:30),[月・水～金]11:30～14:0018:00～22:00(フードL.O.21:00/アルコールL.O.21:30)[土・日・祝]11:30～14:3018:00～22:00(フードL.O.21:00/アルコールL.O.21:30),"￥1,000～￥1,999",無,6席,無
ラーメン専門 藍華（あいか）,八王子市元横山町2-22-3,八王子市,3.62,210,4529,11:00～15:0018:00～22:00,11:00～15:0018:00～22:00,～￥999,有,12席,有
らーめん 五ノ神精肉店（ラーメン ゴノカミセイニクテン）,あきる野市小川東3-9-13,あきる野市,3.62,182,4654,11:00～15:00 17:00～21:30,11:00～15:00 17:00～21:30,～￥999,有,36席,有
富士松,荒川区西尾久7-19-6 ベルメゾンヤスダ 104,荒川区,3.62,180,4721,11:00～15:0018:00～21:00,11:00～15:0018:00～21:00,"￥1,000～￥1,999",無,10席,無
中華そば 弥栄,八王子市千人町2-3-3,八王子市,3.62,173,3712,11:00～15:0018:00～20:00頃,11:00～15:0018:00～20:00頃,～￥999,無,11席,無
尾道ラーメン 壱番館 新宿御苑店,新宿区四谷4-28-20 パレ・エテルネル 1F,新宿区,3.62,157,5221,11:00～15:0018:00～21:30（L.O.21:00）,11:00～15:0018:00～21:30（L.O.21:00）,～￥999,無,情報なし席,無
河辺大勝軒,青梅市師岡町3-19-8 102,青梅市,3.62,153,2998,11:00～15:45(L.O),11:00～15:45(L.O),"￥1,000～￥1,999",有,情報なし席,有
麺屋 かむい,杉並区高円寺南4-25-1,杉並区,3.62,148,5527,,,～￥999,無,8席,無
なるめん,大田区北千束3-16-10,大田区,3.62,141,6033,,,～￥999,無,6席,無
柳麺かいと,狛江市東和泉1-28-11,狛江市,3.62,135,3280,[火～金]11:30～14:3017:00～20:00[土・日]11:30～14:3015:30～18:30※売り切れ次第終了,[火～金]11:30～14:3017:00～20:00[土・日]11:30～14:3015:30～18:30※売り切れ次第終了,～￥999,無,9席,無
麺屋YAMATO（ヤマト）,三鷹市井の頭2-15-8,三鷹市,3.62,132,3550,11:30～14:3018:00～21:00,11:30～14:3018:00～21:00,"￥1,000～￥1,999",無,9席,無
中華SOBA 惠ばら,板橋区赤塚2-2-4,板橋区,3.62,122,2796,[月・火・水・木・土]11:00～15:0017:30～20:30[日]11:00～15:00,[月・火・水・木・土]11:00～15:0017:30～20:30[日]11:00～15:00,"￥1,000～￥1,999",無,情報なし席,無
煮干ソバと米 今日の1番,墨田区東向島3-35-6,墨田区,3.62,115,3320,[火～日]11:00～15:00 18:00～22:00,[火～日]11:00～15:00 18:00～22:00,～￥999,無,9席,無
だしと麺 遊泳,杉並区高円寺南1-6-5 高円寺サマリヤマンション 1F,杉並区,3.62,112,6816,【水•木】17:00～20:30 L.O【土•日】11:30〜15:30 L.O,【水•木】17:00～20:30 L.O【土•日】11:30〜15:30 L.O,～￥999,無,7席,無
淳之助製麺所,中野区上鷺宮4-16-6,中野区,3.62,98,1857,11:00〜25:00(24:30L.O),11:00〜25:00(24:30L.O),～￥999,無,11席,無
中華蕎麦 麺ノ歌,小金井市本町2-20-4,小金井市,3.62,88,1832,11:00～15:0018:00～20:30,11:00～15:0018:00～20:30,"￥1,000～￥1,999",有,6席,有
KEN軒,武蔵野市西久保2-15-27,武蔵野市,3.62,80,2827,11:30～15:0018:00～20:30,11:30～15:0018:00～20:30,"￥1,000～￥1,999",無,9席,無
ひるがお 東京駅店,千代田区丸の内1-9-1 東京駅一番街 B1F 東京ラーメンストリート内,千代田区,3.61,1764,23282,[月～日]9:45～23:00(L.O.22:30),[月～日]9:45～23:00(L.O.22:30),"￥1,000～￥1,999",有,22席,有
九十九ラーメン 恵比寿本店,渋谷区広尾1-1-36 本国ビル　１Ｆ,渋谷区,3.61,1283,33374,11:00～翌3:00(L.O2:30),11:00～翌3:00(L.O2:30),～￥999,無,32席,無
鶏そば十番156 麻布十番本店（ICHIKORO）,港区麻布十番2-1-10,港区,3.61,1075,30565,11:00～23：00,11:00～23：00,～￥999,無,22席,無
焼きあご塩らー麺たかはし 銀座店,中央区銀座5-10-10 オリジナル第一ビル1Ｆ,中央区,3.61,904,25581,11:00〜翌4:30（L.O.4:20）,11:00〜翌4:30（L.O.4:20）,～￥999,無,10席,無
ベジポタつけ麺えん寺,豊島区池袋2-48-2 レスタージュ池袋 1F,豊島区,3.61,837,26227,11：30～22：00スープなくなり次第終了,11：30～22：00スープなくなり次第終了,～￥999,無,10席,無
末廣ラーメン本舗 高田馬場分店（すえひろらーめんほんぽ）,新宿区高田馬場2-8-3,新宿区,3.61,756,22387,午前11時00分～翌３時00分※第1第2日曜日は深夜2時までの営業。※月曜日が祝日の場合は営業します。（翌日店休）※店舗事情により店休、早じまい、中休憩することがあります。,午前11時00分～翌３時00分※第1第2日曜日は深夜2時までの営業。※月曜日が祝日の場合は営業します。（翌日店休）※店舗事情により店休、早じまい、中休憩することがあります。,～￥999,無,9席,無
麺家 黒,目黒区目黒1-6-12 ワンエム目黒 1F,目黒区,3.61,742,20900,11:00～翌2:00,11:00～翌2:00,～￥999,無,14席,無
らーめん潤 亀戸店（らーめんじゅん）,江東区亀戸6-2-1,江東区,3.61,646,18845,[火～日]10：00～24:00,[火～日]10：00～24:00,～￥999,無,9席,無
四川担担麺 阿吽 キッテグランシェ店,千代田区丸の内2-7-2 JPタワー KITTE丸の内 B1F,千代田区,3.61,597,10987,［月～金］11:00～21:50［土・日］11:00～20:50,［月～金］11:00～21:50［土・日］11:00～20:50,～￥999,有,情報なし席,有
青葉 御徒町店（あおば）,台東区上野5-20-3 ラーメン横丁,台東区,3.61,594,8083,11:00～23:00,11:00～23:00,"￥1,000～￥1,999",無,18席,無
麺や いま村,豊島区巣鴨1-13-3 福沢ビル 1F,豊島区,3.61,555,18000,11：00～22：30（Ｌ．Ｏ）従業員不足が解消され次第もう少し延長予定と…※緊急事態宣言等、政府の指導により変わる可能性がございます。予めご了承ください。,11：00～22：30（Ｌ．Ｏ）従業員不足が解消され次第もう少し延長予定と…※緊急事態宣言等、政府の指導により変わる可能性がございます。予めご了承ください。,"￥1,000～￥1,999",無,18席,無
炭火焼濃厚中華そば 奥倫道,港区芝大門2-1-18 GSハイム芝大門　1F,港区,3.61,521,20303,11:00～22:00※材料が無くなり次第、終了する場合がございます。営業時間・定休日が記載と異なる場合がございます。ご来店時は事前に店舗にご確認ください。,11:00～22:00※材料が無くなり次第、終了する場合がございます。営業時間・定休日が記載と異なる場合がございます。ご来店時は事前に店舗にご確認ください。,"￥1,000～￥1,999",無,15席,無
四川担々麺 ななつぼし 新橋店,港区新橋3-16-22,港区,3.61,494,10214,［月～土］11:00～翌6:00［日］11:00～23:30,［月～土］11:00～翌6:00［日］11:00～23:30,"￥1,000～￥1,999",無,情報なし席,無
かぐら,立川市錦町1-6-13 苅田ビル1F,立川市,3.61,471,15644,11:00 ～ 24：00,11:00 ～ 24：00,～￥999,無,8席,無
江戸前煮干中華そば きみはん 総本店,台東区根岸3-3-18,台東区,3.61,470,10284,11:00～23:00,11:00～23:00,～￥999,無,10席,無
春木屋 吉祥寺店（はるきや）,武蔵野市吉祥寺本町2-14-1,武蔵野市,3.61,464,15858,11:00～21:00,11:00～21:00,"￥1,000～￥1,999",無,情報なし席,無
麺屋ぬかじ,渋谷区宇田川町3-12 monostep2 1F,渋谷区,3.61,458,19599,[月～金]11:00～16:00 [土・祝]11:00～16:00※水曜日はランチ営業のみ,[月～金]11:00～16:00 [土・祝]11:00～16:00※水曜日はランチ営業のみ,"￥1,000～￥1,999",無,情報なし席,無
田中そば店 新橋店,港区西新橋1-18-10 佐々木ビル 1F,港区,3.61,449,14823,[月～金]11:00～15:45 17:00～21:00,[月～金]11:00～15:45 17:00～21:00,～￥999,無,10席,無
濃厚鶏そば 晴壱（はるいち）,新宿区住吉町2-10 ソフィアM １F,新宿区,3.61,448,11823,■平日 11:30〜翌2:00 ラストオーダー1:45（15:30〜17:00の間は中休み）■土曜日 11:30〜翌2:00 ラストオーダー1:45  (通し営業)■日曜祝祭日 11:30〜23:00 ラストオーダー22:45（通し営業）,■平日 11:30〜翌2:00 ラストオーダー1:45（15:30〜17:00の間は中休み）■土曜日 11:30〜翌2:00 ラストオーダー1:45  (通し営業)■日曜祝祭日 11:30〜23:00 ラストオーダー22:45（通し営業）,～￥999,無,20席,無
SHRIMP NOODLE 海老ポタ（シュリンプ ヌードル 海老ポタ）,港区新橋2-15-12 KLセントラルビル 1F,港区,3.61,447,9149,[月～土]11:00～翌6:00[日]11:00～22:30,[月～土]11:00～翌6:00[日]11:00～22:30,"￥1,000～￥1,999",無,34席,無
ラーメン二郎 仙川店（らーめんじろう）,調布市仙川町1-10-17,調布市,3.61,412,6358,[月～土]17:00～21:00,[月～土]17:00～21:00,～￥999,無,12席,無
本家 第一旭 神保町店,千代田区神田神保町2-48-2,千代田区,3.61,402,13337,[月～土]11:00～22:00[日]11:00～18:00,[月～土]11:00～22:00[日]11:00～18:00,"￥1,000～￥1,999",無,28席,無
○心厨房（まごごろちゅうぼう）,江東区東陽1-25-6,江東区,3.61,381,9950,11:30～15:00 17:45～20:15(L.O.20:00),11:30～15:00 17:45～20:15(L.O.20:00),～￥999,無,10席,無
パパパパパイン,町田市原町田3-1-4 町田ターミナルプラザ 2F,町田市,3.61,380,14307,11:00～15:00 18:00～21:00,11:00～15:00 18:00～21:00,～￥999,無,10席,無
谷ラーメン（たにらーめん）,千代田区丸の内3-7-11,千代田区,3.61,363,15446,11:00～14:00(L.O) 17:00～20:00,11:00～14:00(L.O) 17:00～20:00,"￥1,000～￥1,999",無,12席,無
にしき之中華ソバ,豊島区西池袋1-13-8,豊島区,3.61,353,7635,朝8:00～深夜1:00(中休みなし)(火曜日のみ朝8:00〜深夜24:00),朝8:00～深夜1:00(中休みなし)(火曜日のみ朝8:00〜深夜24:00),～￥999,無,12席,無
麺創研 紅 国分寺,国分寺市本町2-2-15,国分寺市,3.61,352,9128,11:00〜22:00(L.O) ⭕中休みナシ,11:00〜22:00(L.O) ⭕中休みナシ,～￥999,無,23席,無
らーめん しおの風,足立区竹ノ塚6-24-16,足立区,3.61,338,7451,(月・木・金・土・日)11:00～25:00ラストオーダー24:30(火・水)11:00～23:00ラストオーダー22:30,(月・木・金・土・日)11:00～25:00ラストオーダー24:30(火・水)11:00～23:00ラストオーダー22:30,"￥1,000～￥1,999",有,11席,有
いぶし銀（【旧店名】風来房）,町田市原町田6-29-4 寺田ビル　 １Ｆ,町田市,3.61,333,9503,[平日]11:30～14:0018:00～21:00[土・日・祝祭日]11:30～15:0018:00～21:00スープがなくなり次第終了,[平日]11:30～14:0018:00～21:00[土・日・祝祭日]11:30～15:0018:00～21:00スープがなくなり次第終了,～￥999,無,14席,無
らーめん平太周 神保町店,千代田区神田神保町1-12-1 富田ビル 1F,千代田区,3.61,329,12901,11:00～21:45ラストオーダー(月～金）11:00～21:30ラストオーダー(土日祝）閉店はラストオーダー30分後となります。,11:00～21:45ラストオーダー(月～金）11:00～21:30ラストオーダー(土日祝）閉店はラストオーダー30分後となります。,～￥999,無,10席,無
ひらさわ,千代田区神田三崎町2-16-10,千代田区,3.61,318,10601,,,～￥999,無,9席,無
#新宿地下ラーメン,新宿区西新宿1西口地下街1号 小田急エース北館 SHINJUKU DELISH PARK PARK6,新宿区,3.61,297,3696,[月～金]10:30～21:30(L.O.21:00)[土・日・祝]10:30～21:00(L.O.20:30),[月～金]10:30～21:30(L.O.21:00)[土・日・祝]10:30～21:00(L.O.20:30),"￥1,000～￥1,999",無,27席,無
お茶の水、大勝軒 BRANCHING,千代田区神田神保町3-10,千代田区,3.61,279,10345,午前11時～午後10時,午前11時～午後10時,"￥1,000～￥1,999",無,28席,無
らぁめんや やしげる,世田谷区宮坂3-12-3 ドム経堂 1F,世田谷区,3.61,273,10549,,,"￥1,000～￥1,999",無,7席,無
麺屋福丸,渋谷区幡ヶ谷1-9-6 リッツ幡ヶ谷1階,渋谷区,3.61,263,10183,[火～金]11:00~15:0018:00~21:00[土・日・祝日]11:00～16:0018：00～21：00定休日月曜ランチ・ディナーでスープがなくなり次第終了,[火～金]11:00~15:0018:00~21:00[土・日・祝日]11:00～16:0018：00～21：00定休日月曜ランチ・ディナーでスープがなくなり次第終了,"￥1,000～￥1,999",有,14席,有
味噌麺処 花道庵 北参道店,渋谷区千駄ヶ谷3-26-7,渋谷区,3.61,228,7662,月～金11:00～20:45土11:00〜16:00,月～金11:00～20:45土11:00〜16:00,"￥1,000～￥1,999",無,23席,無
ななふく,小金井市本町5-15-9 栄ハイツエクシード 1F,小金井市,3.61,227,6836,,,～￥999,無,6席,無
貝出汁中華そば くらむ,世田谷区玉川3-20-2,世田谷区,3.61,224,6580,11:00～15:0017:00～21:00(L.O.20:45),11:00～15:0017:00～21:00(L.O.20:45),"￥1,000～￥1,999",無,情報なし席,無
豚野郎,中野区中野1-41-45,中野区,3.61,214,9190,【火～日】11:30～14:3018.00～21:30※スープが無くなり次第で閉店。,【火～日】11:30～14:3018.00～21:30※スープが無くなり次第で閉店。,～￥999,無,6席,無
自家製熟成麺 吉岡 田端店,北区東田端2-9-1 第二田島ビル 1F,北区,3.61,210,6849,[月～金]11:00～21:00[土・日・祝]11:00～20:00,[月～金]11:00～21:00[土・日・祝]11:00～20:00,"￥1,000～￥1,999",無,12席,無
綾瀬 大勝軒（あやせ たいしょうけん）,足立区綾瀬3-15-16,足立区,3.61,208,3567,［火～土］11:00～15:0018:00～21:00［日］11:00～15:00,［火～土］11:00～15:0018:00～21:00［日］11:00～15:00,～￥999,有,情報なし席,有
