店名,住所,区名,評価,コメント数,保存数,営業時間,定休日,予算,個室有無,席数,駐車場有無
つばさ家 武蔵境店（つばさや）,武蔵野市境1-12-2 シーザスパレスビル　１Ｆ,武蔵野市,3.54,177,4692,[月～土]11:30～16:00 17:00～24:00[日]11:30～16:00,[月～土]11:30～16:00 17:00～24:00[日]11:30～16:00,～￥999,有,15席,有
ら～めん 熊八,八王子市散田町3-18-4 青木ビル1F,八王子市,3.54,173,4253,[月～土]10:30～21:30(L.O.)[日]10:30～20:00(L.O.),[月～土]10:30～21:30(L.O.)[日]10:30～20:00(L.O.),～￥999,無,9席,無
ラーメンの店 ホープ軒 環七丸山店,中野区野方4-22-4,中野区,3.54,172,3605,24時間営業,24時間営業,～￥999,無,情報なし席,無
楽山（らくざん）,調布市若葉町2-22-10,調布市,3.54,167,6909,[火～日]11:00～14:00(L.O.13:45)17:00～21:00(L.O.20:30),[火～日]11:00～14:00(L.O.13:45)17:00～21:00(L.O.20:30),"￥2,000～￥2,999",無,16席,無
ホルモン和（ホルモンカズ）,墨田区押上1-18-6,墨田区,3.54,166,10604,＜月～金＞17：00～22：30（L.O フード・ソフトドリンク/アルコール 22：00）＜土・日・祝＞12：00～22：30（L.O フード・ソフトドリンク/アルコール 22：00）,＜月～金＞17：00～22：30（L.O フード・ソフトドリンク/アルコール 22：00）＜土・日・祝＞12：00～22：30（L.O フード・ソフトドリンク/アルコール 22：00）,"￥3,000～￥3,999",無,50席,無
蔵前 中華そば 高ひろ,台東区蔵前3-16-3 シンエイマンション蔵前 1F,台東区,3.54,164,4999,[火～金]11:00～14:30[土・日・祝]11:00～15:00※スープ無くなり次第終了,[火～金]11:00～14:30[土・日・祝]11:00～15:00※スープ無くなり次第終了,～￥999,無,14席,無
ラーメン見田家,練馬区練馬1-5-2 新日本パレス本社ビル 1F,練馬区,3.54,161,2903,8:00～24:00(L.O.23:30),8:00～24:00(L.O.23:30),～￥999,無,8席,無
らーめん いごっそう,練馬区関町南4-25-18,練馬区,3.54,156,4353,,,～￥999,有,情報なし席,有
麺屋 義,台東区谷中3-24-1 野口ビル1F,台東区,3.54,152,7139,11:30～14:00 18:00～22:30,11:30～14:00 18:00～22:30,"￥1,000～￥1,999",無,10席,無
麺巧 潮 上野製麺所（ウシオ）,台東区東上野3-22-2 クレアツィオーネ上野 1F,台東区,3.54,143,6805,［月〜金］11:00〜15:00［土・日・祝］11:00〜15:00,［月〜金］11:00〜15:00［土・日・祝］11:00〜15:00,～￥999,無,情報なし席,無
まる政,江戸川区平井6-43-3,江戸川区,3.54,141,4385,11:00～14:00,11:00～14:00,～￥999,無,12席,無
つけ麺 陽,葛飾区堀切4-57-15,葛飾区,3.54,139,2708,[月・火・金]11:30～14:0018:30～21:00[水]11:30～14:00[土・祝]11:30～14:3018:30～21:00[日]11:30～14:30,[月・火・金]11:30～14:0018:30～21:00[水]11:30～14:00[土・祝]11:30～14:3018:30～21:00[日]11:30～14:30,"￥1,000～￥1,999",無,8席,無
中野 邦ちゃんラーメン,中野区中野2-28-8,中野区,3.54,135,3853,[月・水～土]10:00～15:00 17:00～22:00[火]10:00~15:00[日・祝]10:00～15:00 17:00～21:00,[月・水～土]10:00～15:00 17:00～22:00[火]10:00~15:00[日・祝]10:00～15:00 17:00～21:00,～￥999,無,15席,無
中華そば 喜富,豊島区北大塚2-14-8 林ビル 1F,豊島区,3.54,133,2756,11:00～22:00,11:00～22:00,"￥1,000～￥1,999",無,12席,無
會津・喜多方らーめん 愛絆（すずな）,北区上十条3-29-6,北区,3.54,119,3881,[火・木・金]11:00～14:30(L.O)17:00～20:00(L.O)[土・日・祝]11:00～14:30(L.O)17:00〜20:00(L.O)※麺、スープが無くなり次第終了,[火・木・金]11:00～14:30(L.O)17:00～20:00(L.O)[土・日・祝]11:00～14:30(L.O)17:00〜20:00(L.O)※麺、スープが無くなり次第終了,"￥1,000～￥1,999",無,30席,無
中華蕎麦 丸め 東久留米店（チュウカソバマルメ）,東久留米市中央町6-1-24,東久留米市,3.54,118,2409,,,～￥999,有,14席,有
ラーメン 西ちゃん（ラーメン ニシちゃん）,豊島区南長崎4-42-7,豊島区,3.54,105,3369,[木～日］11:00～14:3018:00～20:30,[木～日］11:00～14:3018:00～20:30,～￥999,無,7席,無
拉麺 生姜と肉,江戸川区平井5-14-7,江戸川区,3.54,80,2482,11:30～15:0018:00～21:00,11:30～15:0018:00～21:00,"￥1,000～￥1,999",無,8席,無
